TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2022-08-20T19:55:15.912842', 'End': '2023-11-22T19:55:15.912844'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 67.3, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-19T19:55:15.912850', 'End': '2023-11-22T19:55:15.912852'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 16.96, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-18T19:55:15.912857', 'End': '2023-11-22T19:55:15.912859'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 37.9, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-17T19:55:15.912865', 'End': '2023-11-22T19:55:15.912867'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 26.11, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-16T19:55:15.912872', 'End': '2023-11-22T19:55:15.912874'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 46.79, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-15T19:55:15.912879', 'End': '2023-11-22T19:55:15.912881'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 75.67, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-14T19:55:15.912885', 'End': '2023-11-22T19:55:15.912887'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 71.85, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-13T19:55:15.912892', 'End': '2023-11-22T19:55:15.912894'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 95.15, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-12T19:55:15.912898', 'End': '2023-11-22T19:55:15.912900'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 63.96, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-11T19:55:15.912905', 'End': '2023-11-22T19:55:15.912907'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 31.82, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-10T19:55:15.912911', 'End': '2023-11-22T19:55:15.912913'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 32.79, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-09T19:55:15.912918', 'End': '2023-11-22T19:55:15.912921'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 94.97, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-08T19:55:15.912926', 'End': '2023-11-22T19:55:15.912928'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 57.47, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-07T19:55:15.912933', 'End': '2023-11-22T19:55:15.912934'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 50.56, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-06T19:55:15.912941', 'End': '2023-11-22T19:55:15.912957'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 62.26, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-05T19:55:15.912962', 'End': '2023-11-22T19:55:15.912964'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 49.28, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-04T19:55:15.912969', 'End': '2023-11-22T19:55:15.912980'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 20.86, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-03T19:55:15.912985', 'End': '2023-11-22T19:55:15.912986'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 17.89, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-02T19:55:15.913001', 'End': '2023-11-22T19:55:15.913005'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 56.72, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-01T19:55:15.913010', 'End': '2023-11-22T19:55:15.913012'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 26.44, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-31T19:55:15.913027', 'End': '2023-11-22T19:55:15.913028'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 76.78, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-30T19:55:15.913033', 'End': '2023-11-22T19:55:15.913035'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 81.58, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-29T19:55:15.913041', 'End': '2023-11-22T19:55:15.913043'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 45.46, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-07-28T19:55:15.913048', 'End': '2023-11-22T19:55:15.913050'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 37.79, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-27T19:55:15.913065', 'End': '2023-11-22T19:55:15.913067'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 24.03, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-26T19:55:15.913072', 'End': '2023-11-22T19:55:15.913075'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 51.63, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-25T19:55:15.913080', 'End': '2023-11-22T19:55:15.913082'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 92.22, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-24T19:55:15.913097', 'End': '2023-11-22T19:55:15.913099'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 58.31, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-23T19:55:15.913105', 'End': '2023-11-22T19:55:15.913107'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 73.14, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-07-22T19:55:15.913112', 'End': '2023-11-22T19:55:15.913113'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 12.79, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-07-21T19:55:15.913118', 'End': '2023-11-22T19:55:15.913120'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 78.24, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-20T19:55:15.913125', 'End': '2023-11-22T19:55:15.913126'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 91.16, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-19T19:55:15.913131', 'End': '2023-11-22T19:55:15.913133'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 15.05, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-18T19:55:15.913139', 'End': '2023-11-22T19:55:15.913141'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 74.9, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-17T19:55:15.913146', 'End': '2023-11-22T19:55:15.913148'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 53.49, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-16T19:55:15.913153', 'End': '2023-11-22T19:55:15.913154'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 29.78, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-15T19:55:15.913159', 'End': '2023-11-22T19:55:15.913161'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 73.03, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-14T19:55:15.913166', 'End': '2023-11-22T19:55:15.913170'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 46.54, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-07-13T19:55:15.913174', 'End': '2023-11-22T19:55:15.913176'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 13.45, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-07-12T19:55:15.913181', 'End': '2023-11-22T19:55:15.913182'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 18.26, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-07-11T19:55:15.913187', 'End': '2023-11-22T19:55:15.913189'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 22.96, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
